,Ticker,Volatility,Sector,PEG Ratio,Market Cap,Trailing PS,Profit Margin,Forward EPS,Market Cap Categorised,Price,Three Year SL Growth Rate (%),Three Year Growth Against Market (%)
5370,QSR,5.503912182614752,Consumer Cyclical,3.83,31416506368.0,4.8295937,0.15496,3.34,Large-Cap,69.04000091552734,73.17711841831299,27.23468566250991
5374,QTWO,31.776065484769468,Technology,1.2,1421782016.0,2.5134344,-0.19266,0.96,Small-Cap,23.850000381469727,-63.604454714251055,-109.54688747005413
5377,QUIK,1.4322269660475708,Technology,-28.3,78149912.0,4.830032,-0.26372,0.17,Micro-Cap,5.659999847412109,87.41721467414258,41.47478191833951
5378,QUOT,3.5565356537942963,Communication Services,-3.84,299863776.0,1.0384316,-0.26496,0.08,Small-Cap,3.069999933242798,-48.7479123447493,-94.69034510055238
5382,R,17.69023024706127,Industrials,-0.47,3986031872.0,0.33186513,0.07218,11.62,Mid-Cap,86.55000305175781,255.9262331098862,209.98380035408312
5385,RACE,27.703404522796962,Consumer Cyclical,2.92,50481352704.0,9.907524,0.18303,7.83,Large-Cap,276.0,80.95552418012741,35.01309142432434
5388,RAIL,1.4150087653845222,Industrials,-2.45,54523700.0,0.14948075,-0.1065,0.17,Micro-Cap,3.009999990463257,110.48951754331486,64.54708478751178
5390,RAMP,15.863741845040382,Technology,1.49,1526268416.0,2.5882907,-0.19795,1.06,Small-Cap,23.399999618530277,-25.761423608207352,-71.70385636401042
5394,RARE,30.62248482871099,Healthcare,0.06,2965953792.0,8.163273,-1.94705,-6.11,Mid-Cap,41.2599983215332,-33.58016897782753,-79.52260173363061
5397,RBA,7.525676186400899,Industrials,3.23,10673715200.0,6.1562266,0.18437,2.86,Large-Cap,58.27000045776367,46.40688477383373,0.4644520180306557
5399,RBBN,1.9367114771741214,Communication Services,0.74,429755328.0,0.5242453,-0.11965,0.36,Small-Cap,2.5,-9.74729179731632,-55.6897245531194
5400,RBC,37.557885519121584,Industrials,5.13,6459113984.0,4.505046,0.10391,8.16,Mid-Cap,222.6300048828125,85.47057265196729,39.52813989616421
5407,RC,2.749708965913421,Real Estate,0.44,1159348736.0,2.2513638,0.37724,1.65,Small-Cap,10.369999885559082,102.84972242260824,56.90728966680516
5414,RCEL,7.982594472297207,Healthcare,-0.12,362440832.0,10.529643,-0.77467,-0.81,Small-Cap,14.31999969482422,-49.21986061204786,-95.16229336785094
5417,RCI,4.892680845447743,Communication Services,2.17,24461651968.0,1.5888317,0.10912,3.32,Large-Cap,48.27999877929688,27.54559093239315,-18.396841823409925
5420,RCKY,11.732186226170246,Consumer Cyclical,0.86,187917072.0,0.30532038,0.03325,3.92,Micro-Cap,25.559999465942383,36.729529241841306,-9.21290351396177
5421,RCL,16.32030278799611,Consumer Cyclical,-0.11,16116231168.0,1.8229917,-0.24386999,6.02,Large-Cap,62.22999954223633,80.74353468094927,34.80110192514619
5425,RCM,5.4455934030323885,Healthcare,-120.72,6545760256.0,3.6236494,-0.031889997,0.35,Mid-Cap,15.09000015258789,58.01046964614489,12.068036890341816
5426,RCMT,6.412741725368355,Industrials,0.44,109123600.0,0.3833202,0.07338,2.19,Micro-Cap,12.149999618530272,806.7163668567935,760.7739341009903
5432,RDCM,1.2957163891832466,Communication Services,3.55,142371744.0,3.0916102,-0.04901,0.26,Micro-Cap,9.579999923706056,48.98911632135031,3.0466835655472337
5433,RDFN,23.825337302688787,Real Estate,-0.03,955791872.0,0.41839182,-0.14058,-1.02,Small-Cap,8.670000076293945,-50.028819102772225,-95.9712518585753
5437,RDN,2.966421495705226,Financial Services,3.8,3676743936.0,3.087817,0.62393004,3.16,Mid-Cap,23.5,104.13618414719552,58.193751391392446
5438,RDNT,5.50387867210461,Healthcare,5.54,1617678464.0,1.1311954,0.00745,0.52,Small-Cap,27.440000534057617,127.90698190197037,81.96454914616729
5441,RDWR,4.88820844714571,Technology,1.97,941208384.0,3.2076519,-0.00057,0.95,Small-Cap,20.88999938964844,-3.4658041642957014,-49.40823692009878
5442,RDY,6.752175867456826,Healthcare,0.54,10039385088.0,0.042310465,0.15319,3.66,Large-Cap,59.65999984741211,18.578935628276472,-27.363497127526603
5443,RE,48.315440546402215,Financial Services,0.67,16343933952.0,1.3437531,0.04908,55.06,Large-Cap,375.6000061035156,118.76243492424823,72.82000216844514
5444,REAL,7.5859720783410385,Consumer Cyclical,-0.02,122075288.0,0.2022812,-0.32551,-0.57,Micro-Cap,1.1399999856948853,-88.0628276133347,-134.00526036913777
5450,REG,11.515975629488075,Real Estate,-43.23,10446815232.0,8.218733,0.37987998,2.15,Large-Cap,60.54999923706055,80.9824014185953,35.039968662792226
5451,REGN,88.09836172675807,Healthcare,6.9,87540604928.0,7.1914334,0.35639998,45.02,Large-Cap,798.0999755859375,46.58559735833451,0.643164602531435
5452,REI,1.0394743856136148,Energy,0.08,343446400.0,1.0403571,0.41994998,0.73,Small-Cap,1.8200000524520876,213.79312152102838,167.8506887652253
5456,RELL,6.349619695306276,Technology,0.55,224479968.0,0.84564227,0.09981,1.2,Micro-Cap,16.0,323.7992404196764,277.8568076638733
5467,RES,2.5074510096118425,Energy,0.1,1631250048.0,1.0184097,0.13633001,1.51,Small-Cap,7.599999904632568,239.28570858373934,193.34327582793625
5473,REVG,3.6283987625911776,Industrials,-1.12,664120192.0,0.27926505,0.00101,1.2,Small-Cap,11.239999771118164,177.0305999563041,131.088167200501
5474,REX,3.8157913969602277,Basic Materials,2.0,495281440.0,0.57927656,0.032390002,2.24,Small-Cap,28.46999931335449,67.27378700138577,21.331354245582695
5476,REYN,1.7225866000612595,Consumer Cyclical,12.09,5770085376.0,1.5116807,0.06759,1.52,Mid-Cap,27.549999237060547,-5.91309600820276,-51.85552876400583
5477,REZI,6.576970951824137,Industrials,0.1,2646418688.0,0.41545036,0.04443,2.28,Mid-Cap,18.239999771118164,347.0588262793377,301.11639352353467
5486,RGA,17.406952117025508,Financial Services,0.06,9336297472.0,0.5742587,0.03832,17.51,Mid-Cap,141.80999755859375,55.28037328134185,9.337940525538777
5489,RGEN,43.50207150065684,Healthcare,10.52,9241945088.0,11.530293,0.23200001,3.37,Mid-Cap,166.32000732421875,59.57018321745531,13.627750461652234
5491,RGLD,12.84753379141301,Basic Materials,4.13,8538835456.0,14.322459,0.40085,4.15,Mid-Cap,130.8000030517578,21.30856483193096,-24.633867923872117
5493,RGNX,7.2796273018512325,Healthcare,-1.85,828881344.0,7.3531933,-2.48679,-3.17,Small-Cap,18.8700008392334,-47.37869348003784,-93.32112623584092
